"科目名","学科","カテゴリ","説明"
"魔力拡張実践演習（Magical Power Amplification Practicum）","魔法教養","戦闘魔法実践","自身の魔法効果を拡大し、射程や持続力を高める技法を模擬戦形式で体得する。"
"省力化魔法実技（Efficient Spellcasting Techniques）","魔法教養","戦闘魔法実践","魔力消費を最小限に抑えながら高出力を発揮する魔法行使法を、実戦環境で鍛錬する。"
"並行魔法発動実習（Concurrent Spellcasting Practicum）","魔法教養","戦闘魔法実践","近接戦闘と共に魔法を同時に発動するための連携技法を、実践的な模擬戦で習得する。"
"標的集中詠唱実習（Targeted Incantation Practicum）","魔法教養","戦闘魔法実践","特定の対象へ正確に魔法効果を届ける詠唱技法を、現場実習で磨く。"
"連動行動実践ワークショップ（Coordinated Action Workshop）","魔法教養","戦闘魔法実践","仲間との連携を前提とした魔法行使のタイミング調整を、グループ演習で体験する。"
"古代魔法体系研究（Study of Ancient Magical Systems）","魔法教養","魔法理論と歴史","古代文明における魔法体系の成立と進化を、歴史的文献を基に解析する。"
"魔法理論Ⅴ：エネルギーの本質（Magic Theory V: The Essence of Energy）","魔法教養","魔法理論と歴史","魔力の性質とその作用機序について基礎から学ぶ入門講義。"
"魔法の進化と近代的応用（The Evolution of Magic and Its Modern Applications）","魔法教養","魔法理論と歴史","伝統的魔法から現代魔法への変遷とその応用事例を体系的に検証する。"
"魔法原理基礎（Fundamentals of Magical Principles）","魔法教養","魔法理論と歴史","魔力の本質と作用機序を基礎理論から探求する。"
"古典呪文と伝統の探究（Exploration of Classical Incantations and Traditions）","魔法教養","魔法理論と歴史","伝統的呪文の成立過程と歴史的背景を文献と実習で学ぶ。"
"異文化魔法交流史（History of Cross-Cultural Magical Exchange）","魔法教養","魔法理論と歴史","異なる文化間における魔法知識の伝播と相互影響を歴史的視点から研究する。"
"集中詠唱技法実習Ⅲ（Concentration Chanting Techniques Practicum III）","魔法教養","魔法制御と詠唱技術","呪文発声中の精神集中と環境調整を実践シナリオで訓練する。"
"暗記と符号Ⅲ：呪文の構成要素（Memorization and Symbol Coding III: Elements of Spell Construction）","魔法教養","魔法制御と詠唱技術","呪文構成に必要な記憶術と符号化手法の基本原理を習得する。"
"環境と詠唱Ⅲ：外部要因の影響（Environment and Incantation III: Effects of External Factors）","魔法教養","魔法制御と詠唱技術","外部環境が呪文発声に与える影響と対策について実例を交えて検証する。"
"応用詠唱法：即興と戦術的変化（Applied Chanting Methods: Improvisation and Tactical Adaptation）","魔法教養","魔法制御と詠唱技術","即興的な呪文変更と戦況に応じた詠唱調整技術を実践的に学ぶ。"
"精神統一Ⅴ（Mental Unification V）","魔法教養","魔法制御と詠唱技術","内面的集中力の向上を瞑想と実践訓練で強化する。"
"魔法使用の倫理と責任（Ethics and Responsibility of Magical Practice）","魔法教養","魔法倫理","魔法行使に伴う倫理的課題と社会的影響を議論と実習で検証する。"
"危険管理と安全実習（Risk Management and Safety Practicum）","魔法教養","魔法倫理","魔法使用時のリスク評価と事故防止策を現場実習で学ぶ。"
"実践魔法におけるリスクとリターンの分析（Analysis of Risks and Returns in Practical Magic）","魔法教養","魔法倫理","模擬戦環境で即応性と協力性を重視した魔法の応用法を体験する。"
"魔法倫理の現代的課題（Contemporary Issues in Magical Ethics）","魔法教養","魔法倫理","現代社会における魔法の倫理的問題とその解決策を議論する。"
"魔法教育の現状と未来展望（Current State and Future Prospects of Magical Education）","魔法教養","魔法倫理","魔法教育制度の現状と、未来に向けた教育改革の可能性を模索する。"
"魔力資源の経済学（Economics of Magical Resources）","魔法教養","魔法経済と資源管理","魔法エネルギーの希少性と流通に関する経済理論を実例と共に分析する。"
"魔法発動体の市場と流通（Market and Distribution of Magical Conduits）","魔法教養","魔法経済と資源管理","魔法発動体の製造・流通市場の動向とその経済的影響を検証する。"
"魔晶石管理と効率的消費戦略（Management of Magic Crystals and Efficient Consumption Strategies）","魔法教養","魔法経済と資源管理","戦闘中におけるMP管理技術と効率的な消費戦略を理論と実践で学ぶ。"
"魔法経済の歴史と現代の変遷（Historical and Contemporary Evolution of the Magic Economy）","魔法教養","魔法経済と資源管理","魔法経済の歴史的発展と現代における経済システムの変化を考察する。"
"資源競争と魔法技術の革新（Resource Competition and Innovations in Magical Technology）","魔法教養","魔法経済と資源管理","限られた魔力資源を巡る競争と、それに伴う技術革新の動向を分析する。"
"防護魔法の実践技法・発展（Practical Techniques and Advancements in Protective Magic）","操霊学科","補助魔法と戦闘応用","対象保護のための補助魔法の基礎技法と実践的応用法を学ぶ。"
"支援呪文の編成と応用Ⅲ（Composition and Application of Support Spells III）","操霊学科","補助魔法と戦闘応用","複数支援呪文の効果的な組み合わせと戦闘中の応用方法を検討する。"
"範囲支援と集中支援Ⅴ（Area Support and Focused Support V）","操霊学科","補助魔法と戦闘応用","広範囲と一点集中の支援魔法の使い分けと戦術的運用法を比較検討する。"
"魔法収束と魔法制御Ⅴ（Magical Convergence and Control V）","操霊学科","補助魔法と戦闘応用","魔法の収束技術と制御手法を応用し、支援効果を最大化する戦略を探る。"
"支援魔法におけるリスクマネジメント（Risk Management in Support Magic）","操霊学科","補助魔法と戦闘応用","補助呪文使用時の失敗リスクとその対策について、理論と実践から学ぶ。"
"応用攻撃呪文の限界と展望（Limits and Prospects of Applied Offensive Spells）","操霊学科","攻撃魔法と戦闘応用","基礎的攻撃呪文の可能性と限界を検証し、進化の方向性を論じる。"
"酸毒による攻撃技法（Acid and Poison-Based Offensive Techniques）","操霊学科","攻撃魔法と戦闘応用","酸や毒を用いた攻撃技法の理論と実践的手法を深掘りする。"
"戦闘における攻撃魔法の統合戦略Ⅲ（Integrated Offensive Magic Strategies in Combat III）","操霊学科","攻撃魔法と戦闘応用","攻撃呪文を戦闘シナリオに統合するための戦略と実践例を研究する。"
"動的戦闘環境での魔法展開（Spell Deployment in Dynamic Combat Environments）","操霊学科","攻撃魔法と戦闘応用","戦闘中の変化する状況下での魔法展開技法とその柔軟性を検証する。"
"即応魔法詠唱訓練Ⅱ（Rapid-Response Spell Chanting Training II）","操霊学科","攻撃魔法と戦闘応用","即時反応を求められる戦闘状況での呪文詠唱技術とそのタイミングを鍛錬する。"
"魔導生命統御基礎演習Ⅳ（Basic Practicum in Magical Life Control IV）","操霊学科","魔導生命制御実習","召喚後の魔導生命を安定的に統率する基本技法を学ぶ。"
"指令伝達操作訓練Ⅲ（Directive Transmission Operation Training III）","操霊学科","魔導生命制御実習","瞬時に明確な指令を伝達し、動作を制御する技法を実地で鍛錬する。"
"制御環境最適化実習Ⅲ（Control Environment Optimization Practicum III）","操霊学科","魔導生命制御実習","制御効果を最大化するための環境設定と調整技法を検証する。"
"緊急対応制御訓練（Emergency Response Control Training）","操霊学科","魔導生命制御実習","突発事態における迅速な制御反応を模擬戦で鍛える。"
"応用制御技法総合演習（Comprehensive Practicum in Applied Control Techniques）","操霊学科","魔導生命制御実習","高度な制御技法を複合状況下で実践的に応用する。"
"解呪と再構築実習Ⅳ（Curse Removal and Reconstruction Practicum IV）","操霊学科","魔導生命応用研究","不要時に魔導生命を解呪し、素材に戻す技法を磨く。"
"一体多用途運用検証Ⅲ（Integrated Multi-Purpose Utilization Examination III）","操霊学科","魔導生命応用研究","単一魔導生命の多様な用途を実戦シナリオで検証する。"
"配置戦術と運用実習Ⅲ（Deployment Tactics and Operational Practicum III）","操霊学科","魔導生命応用研究","魔導生命の最適な配置と戦術的運用法を模擬演習で学ぶ。"
"創造的再構築技法Ⅱ（Creative Reconstruction Techniques II）","操霊学科","魔導生命応用研究","状況に応じた魔導生命の再構築技法を創造的に探求する。"
"希少素材の流通と交渉演習（Circulation and Negotiation Practicum for Rare Materials）","操霊学科","魔導生命応用研究","世に出回らない素材の捜索と所持者との交渉を実践形式で学ぶ。"
"神聖魔法の基礎理論とエネルギー源（Fundamental Theory of Divine Magic and Its Energy Sources）","神聖学科","神聖魔法の理論と信仰","神聖魔法の基本原理と、そのエネルギー源としての信仰の役割を探究する。"
"各神の教義と魔法の相関性（The Correlation Between the Doctrines of Various Deities and Magic）","神聖学科","神聖魔法の理論と信仰","主要神々の教義と、それが魔法行使に与える影響を体系的に分析する。"
"信仰と魔法行使：精神統一の技法（Faith and Spellcasting: Techniques for Mental Unification）","神聖学科","神聖魔法の理論と信仰","精神統一を通じた神聖魔法の安定行使技法と、その実践方法を学ぶ。"
"神聖儀式の歴史と進化（History and Evolution of Divine Rituals）","神聖学科","神聖魔法の理論と信仰","古代から現代に至る神聖儀式の変遷と、その文化的背景を検証する。"
"他神徒との神聖魔法交流論（Divine Magic Exchange Among Diverse Faiths）","神聖学科","神聖魔法の理論と信仰","異なる信仰体系における神聖魔法の相互作用と交流可能性を探求する。"
"神聖回復魔法の作用機構（Mechanisms of Divine Healing Magic）","神聖学科","回復と治癒の応用","神聖な回復魔法の作用原理と、その生理学的影響を解析する。"
"臨床神聖魔法：実践とケーススタディ（Clinical Divine Magic: Practice and Case Studies）","神聖学科","回復と治癒の応用","実際の治療現場での神聖回復魔法の応用例をケーススタディを通して学ぶ。"
"治癒における精神と肉体の調和（The Harmony of Mind and Body in Healing）","神聖学科","回復と治癒の応用","回復プロセスにおける精神と肉体の相互作用と調和を理論的に検証する。"
"緊急治癒呪文とその適用戦略（Emergency Healing Spells and Their Application Strategies）","神聖学科","回復と治癒の応用","戦闘中や緊急時に用いる回復呪文の即時応用技法を習得する。"
"慢性病に対する神聖治癒の新展開（New Developments in Divine Healing for Chronic Diseases）","神聖学科","回復と治癒の応用","従来の治癒魔法を超えた、慢性疾患に対する革新的治癒法を研究する。"
"神聖防護魔法の理論と応用（Theory and Application of Divine Protective Magic）","神聖学科","防護魔法と祝福の戦術","神聖防護呪文の理論的枠組みと、その戦闘応用技法を探究する。"
"パーティ全体を守る祝福呪文の設計（Designing Blessing Spells to Protect the Entire Party）","神聖学科","防護魔法と祝福の戦術","集団を保護するための祝福呪文の設計原理と実践戦略を学ぶ。"
"盾と信仰：前衛神官の防御戦術（Shield and Faith: Defensive Tactics for Frontline Clerics）","神聖学科","防護魔法と祝福の戦術","前衛としての神官の役割と、盾技と神聖魔法の連携戦術を検証する。"
"状態異常回避の神聖魔法（Divine Magic for Status Effect Avoidance）","神聖学科","防護魔法と祝福の戦術","各種状態異常に対抗する神聖魔法の理論と実践的回避技術を学ぶ。"
"戦闘中の持続的防護戦略（Sustained Defensive Strategies During Combat）","神聖学科","防護魔法と祝福の戦術","戦闘継続中における防護魔法の維持と強化戦略を、最新の実例を基に分析する。"
"奇跡の理論：神の意志と現実変換（Theory of Miracles: Divine Will and Reality Transformation）","神聖学科","奇跡と儀式の実践","奇跡現象の理論的背景と、神の意志による現実変化のメカニズムを探る。"
"高度な儀式魔法とその実践（Advanced Ritual Magic and Its Practice）","神聖学科","奇跡と儀式の実践","複雑な儀式魔法の構造とその実践的遂行方法を体系的に学ぶ。"
"祝祭と奇跡：共同儀式の社会的効果（Festivals and Miracles: The Social Impact of Collective Rituals）","神聖学科","奇跡と儀式の実践","共同儀式を通じた奇跡の発現と、その社会的・文化的影響を考察する。"
"神聖な奇跡の歴史的事例解析（Historical Case Studies of Divine Miracles）","神聖学科","奇跡と儀式の実践","歴史に残る奇跡事例を分析し、成功要因とその背景を明らかにする。"
"神聖儀式におけるリスクと制約（Risks and Limitations in Divine Rituals）","神聖学科","奇跡と儀式の実践","儀式魔法に伴うリスクと制約、そしてそれに対する管理手法を研究する。"
"戦場回復と支援の統合戦略（Integrated Strategies for Battlefield Recovery and Support）","神聖学科","戦場における神聖戦術","戦場における回復と支援の魔法を統合し、総合的な戦略を構築する。"
"攻防一体の神聖魔法運用論（Unified Theory of Divine Magic for Both Offense and Defense）","神聖学科","戦場における神聖戦術","攻撃と防御を兼ね備えた神聖魔法の運用法を、実戦例とともに解析する。"
"神聖バフと戦闘力強化の実践（Practical Applications of Divine Buffs and Combat Power Enhancement）","神聖学科","戦場における神聖戦術","神聖な祝福呪文による戦闘力強化技術と、その実践応用を探求する。"
"戦場における奇跡のタイミングと効果（Timing and Effects of Miracles on the Battlefield）","神聖学科","戦場における神聖戦術","奇跡の発動タイミングとその戦局への影響、成功事例を詳細に分析する。"
"前衛神官の戦闘統率と自己管理（Combat Command and Self-Management for Frontline Clerics）","神聖学科","戦場における神聖戦術","前衛で戦う神官の戦闘指揮と、自己の魔法・体力管理の戦略を学ぶ。"
"戦場音楽戦略（Strategic Combat Hymnology）","呪歌学科","実践演奏","戦況を判断し、『モラル』『アンビエント』を駆使して戦闘全体の命中を管理する手法を学ぶ。"
"精神操作呪歌論（Psychological Effects of Bardic Magic）","呪歌学科","実践演奏","『ララバイ』『クラップ』『ダル』などの強力な妨害呪歌の活用戦術。"
"抗魔旋律と魔法干渉（Anti-Magic Chants and Spell Resistance）","呪歌学科","実践演奏","『レジスタンス』『ブレイク』による魔法抵抗の強化・弱体の効果分析。"
"集団戦呪歌運用論（Group Battle Hymn Theory）","呪歌学科","実践演奏","多人数のバードによる合奏や、パーティ単位での支援戦術を体系化。"
"音響妨害戦術（Disruptive Acoustics in Combat）","呪歌学科","実践演奏","敵の指揮官や呪文詠唱者を妨害する音響戦略の技術と効果検証。"
"終律増強研究実践（Advanced Research on Augmented Codas）","呪歌学科","応用演奏技術","強化終律による戦闘への影響と、最適な楽素管理の方法論。"
"特殊楽器戦術応用（Advanced Tactical Instrumentation）","呪歌学科","応用演奏技術","シンバルシールド、フィスタロッサムなどの特殊楽器の戦術的運用。"
"精密終律演奏応用（Precision Coda Performance）","呪歌学科","応用演奏技術","終律を確実に命中させる技術を磨き、常に安定したダメージを出せるようにする。"
"多重呪歌奏法（Multi-Harmony Techniques）","呪歌学科","応用演奏技術","ペットと共に呪歌を同時に複数展開し、味方への支援効果を最大化する戦術を研究する。"
"精密演奏制御基礎（Skilled Performance Control）","呪歌学科","応用演奏技術","呪歌の演奏成功率を最大限に引き上げ、戦闘中の演奏失敗を極力減らす技術を学ぶ。"
"楽素研究概論（Research on Harmonic Energy Waves）","呪歌学科","呪歌概論","楽素の蓄積・種類・消費のメカニズムと、それに基づく最適な戦闘プランニングを研究する。"
"中級終律概論（Coda Theory and Performance Strength Analysis）","呪歌学科","呪歌概論","レベル5終律の威力と奏力を理論的に解析し、最適な運用法を考察する。"
